 NPOZ,NLIM,MEAN1,MEAN2,P,B,M1DM2,NLIM1,B1,N100MB,PN,PP,BPN,BPP,UNK1,UNK2
   36 ,  2  ,     40.0000   ,       1.00,      856560,  47.59,   40.00,   2,  47.59,  52.41,   9420,    647280,   0.75,  51.66,     10000,      3596
   36 ,  2  ,     50.0000   ,       1.00,      947800,  52.66,   50.00,   2,  52.66,  47.34,  11240,    580140,   0.90,  46.44,     10000,      3223
   36 ,  2  ,     60.0000   ,       1.00,     1000210,  55.57,   60.00,   2,  55.57,  44.43,  12470,    547380,   0.99,  43.44,     10000,      3041
   36 ,  2  ,     70.0000   ,       1.00,     1078720,  59.93,   70.00,   2,  59.93,  40.07,  13700,    488160,   1.09,  38.98,     10000,      2712
   36 ,  2  ,     80.0000   ,       1.00,     1134815,  63.05,   80.00,   2,  63.05,  36.95,  14485,    448020,   1.16,  35.80,     10000,      2489
   36 ,  2  ,     90.0000   ,       1.00,     1168305,  64.91,   90.00,   2,  64.91,  35.09,  14475,    425520,   1.15,  33.94,     10000,      2364
   36 ,  2  ,    100.0000   ,       1.00,     1193195,  66.29,  100.00,   2,  66.29,  33.71,  15325,    412920,   1.21,  32.51,     10000,      2294
   36 ,  2  ,     10.0000   ,       3.00,      244070,  13.56,    3.33,   2,  13.56,  86.44,    730,   1344420,   0.05,  86.39,     10000,      7469
   36 ,  2  ,     20.0000   ,       3.00,      333400,  18.52,    6.67,   2,  18.52,  81.48,   2660,   1268100,   0.17,  81.31,     10000,      7045
   36 ,  2  ,     30.0000   ,       3.00,      418425,  23.25,   10.00,   2,  23.25,  76.75,   4215,   1196280,   0.27,  76.48,     10000,      6646
   36 ,  2  ,     40.0000   ,       3.00,      519015,  28.83,   13.33,   2,  28.83,  71.17,   5685,   1100880,   0.37,  70.80,     10000,      6116
   36 ,  2  ,     50.0000   ,       3.00,      583225,  32.40,   16.67,   2,  32.40,  67.60,   6995,   1046160,   0.45,  67.15,     10000,      5812
